name,parliament_num,partyAbbrev,n_statements,n_times_interjected,gender
"Abbott, Tony",39,LIB,500,411,male
"Abbott, Tony",40,LIB,1258,655,male
"Abbott, Tony",41,LIB,918,519,male
"Abbott, Tony",42,LIB,354,78,male
"Abbott, Tony",43,LIB,963,225,male
"Abbott, Tony",44,LIB,2761,1771,male
"Abbott, Tony",45,LIB,19,2,male
"Adams, Dick",39,ALP,107,20,male
"Adams, Dick",40,ALP,69,30,male
"Adams, Dick",41,ALP,79,16,male
"Adams, Dick",42,ALP,70,11,male
"Adams, Dick",43,ALP,103,3,male
"Albanese, Anthony",39,ALP,220,63,male
"Albanese, Anthony",40,ALP,194,49,male
"Albanese, Anthony",41,ALP,451,146,male
