Party Name,Women,Men
Australian Greens,7.33 (7.4%),55 (92.6%)
Australian Labor Party,121.95 (21.3%),307.8 (78.7%)
Centre Alliance,24 (100%),0 (0%)
Country Liberal Party (Northern Territory),69 (84.1%),13 (15.9%)
Independent,19.33 (24.4%),71.8 (75.6%)
Katters Australian Party,0 (0%),347 (100%)
Liberal Party of Australia,87.67 (12.3%),180.41 (87.7%)
National Party of Australia (WA),0 (0%),4 (100%)
Nationalist Party,0 (0%),275 (100%)
Nick Xenophon Team,11 (100%),0 (0%)
Palmer United Party,0 (0%),1 (100%)
The Nationals,41.25 (5%),91.79 (95%)
